labels,titles
clickbait,Dewi Perssik Tolak Tawaran Dua Rumah Produksi demi Raffi Ahmad
clickbait,4 Tips Ala Rachel Goddard Agar Tak Tertipu Kosmetik Palsu
no,Jadwal Lengkap Liga Champions Musim Ini
no,"Klasemen Perolehan Medali Asian Games, Indonesia Pasti Finis 10 Besar"
clickbait,CCTV Rekam Aksi Perempuan Saudi yang Diduga Mencuri Mobil
no,Kapal Barang Kosong Berbendera Indonesia Terdampar di Myanmar
clickbait,"Simak, 3 Terobosan Seru dari 3 Edukasi Berbasis Teknologi Tanah Air"
no,"Menpan RB Setujui Angkat 100.000 Guru PNS Baru, Honorer Jadi Prioritas"
clickbait,Pesanan Suzuki Jimny Membeludak
clickbait,Literasi Media dan Kabar Bohong yang Beredar Cepat Halaman 1
no,Pemerintah Tak Akan Ambil 100 Persen Tawaran Utang dari AIIB
clickbait,Bugatti Chiron Ini Terbuat dari Lego
clickbait,Honda Sonic 150R Pakai Strip Baru
clickbait,Mau Liburan Gratis ke Jerman Bareng 1 Teman? Ikuti Kuisnya!
no,Jepang Kembangkan Sistem untuk Prediksi Kejahatan yang Belum Terjadi Halaman 1
clickbait,Mengenal Sistem Pendingin “Water Cooling” di Galaxy Note 9
no,Andien dan Suami Jagokan Speed Climbing di Asian Games 2018
no,Dengarkan Musik agar Tak Cepat Lelah Berolahraga
clickbait,"Gerindra Minta Bansos Dilabel ""Uang Rakyat"", Apa Jawaban Sri Mulyani?"
clickbait,Khayalan Maxime Bouttier dan Prilly Latuconsina Punya Rumah di Hutan
no,UMKM Kuliner Tumbuh Subur Berkat Jasa Pengantaran Online
no,Pemkot Jakbar Upayakan Bangunan Bersejarah Milik Perorangan Bisa Ditetapkan Jadi Cagar Budaya
no,ICRC dan Polri Kenalkan Dasar Forensik kepada Jurnalis
clickbait,Efek Lain dari Kurang Protein Tak Cuma Kualitas Sperma yang Buruk
clickbait,"Klasemen Perolehan Medali Asian Games 2018, Indonesia Salip Iran"
clickbait,Dua Grup Neraka pada Liga Champions Musim 2018-2019
no,Angel Pieters Siap Luncurkan Singel Baru Bulan Depan
clickbait,7 Kebiasaan Diet yang Salah dan Tanda Diet Tidak Tepat
clickbait,Puan Tangkis Tudingan Sandiaga: BPS Punya Kredibilitas!
clickbait,"Lalu Muhammad Zohri dkk Masuk Final, Ini Komentar Sang Pelatih"
clickbait,Untuk Pertama Kali Kevin Sanjaya Menangis Usai Pertandingan
clickbait,"Atraksi Berjalan di Atas Bara Batu, Tarian Khas Biak Numfor"
clickbait,GIIAS 2015 - Galeri 360 Derajat
clickbait,Berburu Helm Nolan yang Dipakai Jokowi
no,Respons Masyarakat pada Nissan Terra Diklaim Positif
clickbait,"Prestasi Junior, Mengembuskan Angin Segar ""Sociopreneur"""
no,Huawei Ketahuan Pakai Kamera DSLR untuk Iklankan Foto Selfie
clickbait,"Badai Debu Bikin Robot Penjelajah Tertua di Mars ""Tidur"" Panjang"
no,Korea Selatan Terus Kembangkan Wisata Ramah Muslim
clickbait,"Obat Pelangsing Ini Sebabkan Kematian di Australia, Kok Bisa?"
no,"Imbang Lawan Bhayangkara, Persija Tatap Laga Versus Borneo FC"
clickbait,Menikmati Loji Gandrung Sepeninggal Jokowi
clickbait,Dekorasi Unik di Ulang Tahun Ke-4 Central Dept Store
clickbait,Tangis Penjual Air Isi Ulang saat Tahu Anaknya Raih Medali Emas di Asian Games
clickbait,Apa Penyebab Kram Kaki di Malam Hari?
clickbait,"Caplok NPR, Indo Tambangraya Gelontorkan 30 Juta Dollar AS"
clickbait,Kata Honda soal HR-V Turbo di Indonesia
no,Son Heung-min Nikmati Ajang Asian Games 2018 di Indonesia
clickbait,Regina Poetiray Telah Mencuri Hati Penggemar Geisha
clickbait,"5 Fakta Terbaru Gempa Lombok, 32.129 Rumah Rusak hingga Ratusan Gempa Susulan"
clickbait,"Duterte: Selama Ada Wanita Cantik, Maka Bakal Banyak Perkosaan"
no,Tiket.com Catat Kenaikan Penjualan Kamar Hotel Sebesar 250 persen
no,"Soal Neno Warisman Pakai Mikrofon Pesawat, Lion Air Masih Lakukan Pemeriksaan"
clickbait,Ini yang Dikatakan Jokowi kepada Anthony Ginting
clickbait,Ratu Tisha Tanggapi Kendala Gelar Piala Asia U-19 di SUGBK
no,Delon Setuju Bercerai demi Kesembuhan Yeslin Wang
no,"Lolos ke Final 4x100 Meter, Zohri dkk Siap Pertajam Waktu"
no,NASA Rilis Peta yang Soroti Jumlah Kebakaran Hutan di Bumi
clickbait,Sheryl Sheinafia Andalkan Intuisi Saat Berkolaborasi
no,Bawaslu DKI Loloskan M Taufik Jadi Bakal Caleg
clickbait,Pasangan Tak Kunjung Punya Anak? Kenali Penyebabnya
no,Limosin Antipeluru Buatan Rusia untuk Mobil Dinas Putin
no,Anies: Asian Paragames Butuh Kebijakan Ganjil-Genap yang Sama
clickbait,Invasion 2018 Siap Mengguncang Jakarta bersama Yellow Claw hingga Andrew Rayel
clickbait,Perhatikan! Ini Cara Mengolah Ikan Air Tawar sebelum Dimasak
clickbait,Sandiaga Uno: Selamat untuk Pak Deddy Mizwar...
no,China Sebut Bakal Terus Lawan Perang Dagang AS
no,"Tinju Asian Games 2018, Sunan Agung Melaju ke Semifinal"
clickbait,Video: Hands-on Samsung Galaxy Note 9 Langsung dari New York
no,"Dua Hari Bentrokan Warga di Kupang, 2 Tewas, 9 Terluka"
no,Rusia Berharap Negara Barat Tak Halangi Operasi Anti-teror di Idlib
clickbait,"Gencar Promosi, Seberapa Pentingkah Wisatawan Indonesia untuk Korea?"
clickbait,Pejabat yang Dipertahankan Ahok Itu Jadi Tersangka karena Jalankan Perintah Atasan
no,"Melonjak 293 Persen, Penjualan Bersih Antam Capai Rp 11,85 Triliun"
no,Motor Diusulkan Juga Terkena Kebijakan Ganjil-Genap
clickbait,"2 Mantan Menteri Jokowi Jadi Timses Prabowo, Ini Respons Sekjen PDI-P"
no,SMK Pijar Alam Masih Dampingi 5 Siswanya yang Terlibat Tawuran
no,"Buru Merchandise Asian Games, Masyarakat Padati Super Store sejak Pagi"
clickbait,"Ibu Rumah Tangga, Pegang Peranan Kunci Keluarga Bisa Liburan"
no,BI: Tingkatkan Devisa Paling Mudah Lewat Industri Pariwisata
no,"Tanpa Dibayar, Ivan Gunawan Promosikan Restoran Ruben Onsu di Hongkong"
clickbait,Pengusaha Berharap Berkah Kenaikan Harga Batu Bara
clickbait,"Video: Hands-on Pocophone F1, Ada Harga Ada Rupa"
clickbait,"Wajib Baca, Rumah untuk Karateka hingga MRT Beroperasi 2019"
clickbait,Orang-orang Kaya yang Mengaku Hidupnya Makin Sulit
no,Kementerian ESDM: Tarif Listrik di Indonesia Paling Murah se-Asean
clickbait,5 Rekomendasi Olahraga Layaknya Atlet Asian Games di Jabodetabek
clickbait,"Aplikasi Google Datally Bisa ""Tabung"" Kuota Data"
clickbait,"Perolehan Medali Asian Games Kontingen RI Lampaui Target, Jokowi Sebut Penyebabnya"
clickbait,Ngalam Travel Mart 2018 Coba Gali Potensi Wisata Tersembunyi di Malang
no,Toto Mohamad Toha Dilantik Jadi Penjabat Wali Kota Bekasi
no,Puan Nilai Erick Thohir Bisa Jadi Kandidat Ketua Tim Kampanye Jokowi-Ma'ruf
clickbait,Bareksa Garap Nasabah Papan Atas
clickbait,"2018 Tersisa 4 Bulan, Metland Fokus Proyek Eksisting"
clickbait,Jonatan Christie: Saya Terpuruk Sebelum Turun di Asian Games 2018
clickbait,"Sepak Bola Asian Games, Bintang Tottenham Siap Bawa Korsel Juara"
no,Retno Marsudi: Pancasila Perekat Kemajemukan Bangsa
no,Erafone Bantah Akan Setop Penjualan Pocophone F1
clickbait,Tempat yang Bisa dikunjungi Selain Mekkah dan Madinah untuk Liburan
no,"Polisi Periksa 7 Orang Terkait Perusakan Kantor Desa Cibarusah, Bekasi"
clickbait,Faisal Basri Sebut Impor ke Indonesia Serupa Air Bah
clickbait,"Malas Cek Tekanan Ban, Ini Solusinya"
no,"Kalahkan Vietnam, Son Heung-min dkk Melaju ke Final Asian Games 2018"
clickbait,"4 Dosen Peraih Akademisi Terbaik Kemenristek, Universitas Mana Saja?"
clickbait,"Serunya ""Nge-gym"" di Air di Kelas Aquafit Fitness First"
no,Asuransi untuk Biaya Pengobatan Istri Indro Warkop Sudah Capai Limit
clickbait,Chevrolet Trailblazer Digeber Keliling Jawa
no,Sadio Mane Menolak Man United karena Juergen Klopp
no,KEMENKES: Banyak Anak Meninggal karena Rabies
no,YLKI Anggap Usulan Kenaikan Tarif Tol Jakarta-Cikampek Ngawur
clickbait,Merayakan Hidup dengan Perawatan Paliatif bagi Pasien Kanker
no,"Klasemen Perolehan Medali Asian Games 2018, Indonesia 8 Emas"
clickbait,"Hasil Undian Liga Europa 2018-2019, Beda Nasib Arsenal dan Chelsea"
clickbait,"Undian Liga Champions, Ronaldo Bertemu Man United"
no,"Sambut Industri 4.0, Pengusaha Diimbau Jaga Kualitas Produk"
clickbait,Proyektil dalam Tubuh Polisi PJR yang Ditembak di Tol Kanci-Pejagan Sudah Diangkat
clickbait,Ini Trik Antisipasi “Hydroplaning” saat Berkendara
clickbait,"Klasemen Perolehan Medali Asian Games 2018, Indonesia Tak Tergeser"
no,10 Strategi Jitu untuk Turunkan Berat Badan
clickbait,"Instagram Permudah Pengajuan ""Centang Biru"""
clickbait,"Bikin Mobil Bugatti Chiron Pakai LEGO, Habiskan Biaya Rp 44 Miliar"
no,Jakarta Diprediksi Cerah hingga Berawan Hari Ini
clickbait,"Menyulam Bukan Cuma ""Milik"" Si Nenek, Buktikan Sendiri..."
clickbait,Pocophone F1 Disebut Bisa Memicu Perang Harga Smartphone
clickbait,"Pemerintah Ingatkan Asosiasi Awasi Pengembang ""Nakal"""
clickbait,Inisiator Gerakan #2019GantiPresiden: Kami Punya Hak Menyatakan Pendapat
clickbait,"Ikut Lelang, Inul Daratista Beli Jersey Atlet Pencak Silat dengan Harga Rp 100 Juta"
no,Katering Asian Games 2018 Siapkan 49.000 Porsi Makanan Per Hari
clickbait,Tingkatkan Performa Seks dengan Minyak Zaitun
clickbait,Ini Harga Ideal Wisma Atlet Kemayoran Jika Dilepas ke Pasar
clickbait,5 Memorabilia Hotel Indonesia 1962 yang Bisa Dilihat sampai Sekarang
clickbait,"Mengenal Diet ""Carb Backloading"" untuk Turunkan Berat Badan"
no,"Pasca-OTT KPK, Ketua PN Medan Dimutasi ke Mahkamah Agung"
no,"Di Indonesia, Galaxy Note 9 Habis Dipesan 2 Hari"
no,"Kini, Harga Apartemen Terkoneksi LRT Sentul Rp 380 Jutaan"
clickbait,Vidi Aldiano dan Sheryl Sheinafia Bikin Klip Video yang Kental Nuansa Indonesia
clickbait,Rentetan Konflik yang Melibatkan Pengembang dan Konsumen
no,Rusia: Pemberontak Suriah Siapkan Provokasi Pakai Senjata Kimia
clickbait,"Joni, Contoh Patriotisme ""Anak Zaman Now"""
clickbait,Delon Akui Pernah Bohong pada Yeslin Wang
no,Peta Kekuatan FP1 dan FP2 di MotoGP Inggris
clickbait,"Banjir Pesan Singkat Usai Raih Emas, Handphone Rifki Sempat ""Hang"""
clickbait,"Pulang dari Sumba, Ini 5 Pilihan Oleh-olehnya"
clickbait,"Seperti Manusia, Beberapa Paus Juga Alami Menopause"
clickbait,Tanri Abeng: Nicke Harus Menjabat Dirut Pertamina Selama 5 Tahun
clickbait,"Melihat Jokowi dan Prabowo Berpelukan, Sandiaga Uno Merinding"
clickbait,Daftar Pesohor yang Tampil Cantik dengan Bintik-bintik di Wajah
no,"Kasus Pemecatan Karyawan Tokopedia, idEA Sebut Internal Fraud Bisa Terjadi di Bisnis Apapun"
no,3 Jam Neno Warisman Tertahan di Gerbang Bandara Pekanbaru
no,"Ini Beda Panel LCD, LED, dan OLED"
clickbait,"Daftar Bonus untuk Defia Rosmaniar, Atlet Penyumbang Emas Pertama Indonesia"
clickbait,"Domba dan Kambing, Mana yang Paling Enak?"
no,"Per Agustus, 10.205 Anak di Asmat Sudah Imunisasi Campak, Rubella dan Polio"
no,Anggaran Penanganan Banjir DKI Dikurangi Rp 400 Miliar
clickbait,Karina Salim Pernah Cemas Berat Badan Naik 15 Kilogram
no,"Miris, Dana Pemberdayaan Perempuan di Kebumen Cuma Rp 95"
clickbait,"Rupiah Dekati Level Rp 14.700 Per Dollar AS, Ini Penyebabnya"
clickbait,Vidi Aldiano Jadi Mak Comblang Sheryl Sheinafia dengan Adiknya
no,"Inilah Para Pemeran Serial TV ""Titans"" Karya DC Universe"
no,"Polisi PJR Ditembak di Tol Kanci-Pejagan, Densus 88 Ikut Terjun Menyelediki"
clickbait,"Bolehkah ""Calistung"" Diajarkan di TK? Ini Aturannya"
clickbait,Akibat Lensa Kontak Perempuan AS Alami Infeksi Mata Langka
clickbait,"Deodoran Alami, Alternatif untuk Bebas Keringat Secara Aman"
clickbait,"MACAN, Tempat Terbaik Dunia versi Majalah TIME"
no,"Pertama di Dunia, Ilmuwan Kembangkan Vaksin Jerawat"
clickbait,"Telepon Disadap dan Chat di WhatsApp Dipantau Pemerintah, Hoaks atau Fakta?"
no,Ghea Indrawari Luncurkan Singel Perdananya
no,Pengarungan Perdana Hulu Sungai Prafi di Papua Barat oleh Mapala UI
no,"Diduga Ajarkan Aliran Sesat ke Muridnya, Seorang Pria Ditangkap Polisi"
clickbait,"Jelang Konser, Syahrini Justru Peduli Pada Haters"
no,Perbedaan Antara Mesin Ertiga dengan Jimny Sierra
no,"Lagi, Pencak Silat Sumbang Emas Ke-14 bagi Indonesia"
no,Konami Bangga PES 2018 Dipertandingkan di Asian Games
no,"Dari Dua Kapal, Polda Papua Amankan 40 Ton BBM Curian"
clickbait,Kenali Ancaman yang Bikin Usia Ban Lebih Pendek
clickbait,Promotor Konser Paramore: Kami Pastikan Hayley Williams Sehat
clickbait,"Viral, Di Malaysia Ada Kuliner Durian Goreng Tepung"
clickbait,"Kamera Bermasalah, Penjualan Pocophone F1 di Indonesia Bakal Disetop?"
clickbait,Jeli Dalam Transformasi Digital Menuju Industri 4.0
no,Facebook Uji Label “Things in Common” untuk Pencarian Teman Baru
clickbait,"Pemain Fortnite ""Curi"" Skin Galaxy dari Toko Samsung"
clickbait,"Masuk Pasar China, Broker Singapura Jalin Usaha Patungan"
clickbait,"Terbang dari Milan, Rini S Bono Saksikan Pemakaman Faldy Albar dari Video Call"
clickbait,"Yuk Main ke Tangerang, Ada Festival Cisadane 2018"
no,"Bulu Tangkis Asian Games, Jonatan Christie Melaju ke Perempat Final"
no,"Ikat Anak Perempuannya di Belakang Mobil, Pria di Turki Ditahan"
clickbait,"Klasemen Perolehan Medali Asian Games 2018, Indonesia Teruskan Tren"
no,"Jatuh Saat Dibegal, Mahasiswi Bandung Alami Gegar Otak"
no,Trump Tuding Hasil Pencarian Google Dimanipulasi
no,Mantan Menkeu Chatib Basri Jadi Penasihat Fintech Modalku
no,Padi Rawa Siap Panen pada Peringatan Hari Pangan Sedunia 2018
clickbait,"Soal Tawaran dari PSSI, Luis Milla Akan Segera Buat Keputusan"
clickbait,Ingin Berhenti dari Pekerjaan Secara Elegan? Terapkan 3 Cara Ini
clickbait,7 Karakter Wanita dalam Wiro Sableng yang Mencuri Perhatian
clickbait,"Sambut Puji Lestari, Lurah Bilang Warga Marunda Bangga"
no,"Internux Tanam Rp 8 Triliun untuk ""Broadband"" dan Internet Perumahan"
no,Power Milik EXO Diputar di Dubai Fountain Sepanjang September
clickbait,Rahasia Promosi “Kumpulkan 10 Cap Dapat Payung Gratis”
no,Peneliti Yogyakarta Buat Alat Simulasi Sederhana Bangunan Tahan Gempa
clickbait,Ingin Tampil Menarik Saat Berfoto? Simak Tips Berikut...
clickbait,Karina Salim Sempat Khawatir dengan Kondisi Kehamilannya
no,Panitera Pengganti dan Penyuap Hakim Tipikor Medan Ditahan KPK
clickbait,KotaK Sukses Bakar Semangat Penonton Konser Paramore
no,"Ada 16 Proyek Strategis Nasional di Indonesia Timur, Pelindo IV Tingkatkan Kapasitas Pelabuhan"
no,"Hingga 2018, Pemerintah Klaim Telah Tarik 105.956 Pekerja Anak"
no,"Peringatan, Pengembang Baru Boleh Berjualan Setelah Kantongi IMB"
clickbait,"Kubur Janin di Pekarangan Masjid, Sepasang Mahasiswa Ditangkap"
no,"Raih Medali Perak Asian Games 2018, Pebalap BMX Indonesia Bersyukur"
no,"Percepat Lalu Lintas di Pintu Tol, RFID Segera Berlaku di India"
clickbait,"Kali Pertama Ahli Temukan Bayi Kuda Berusia 40.000, Begini Wujudnya"
no,Home Credit Pastikan Tak Salahgunakan Data Pelanggan
clickbait,"UGM Kenalkan Mahasiswa Baru UKM lewat ""Gelex"""
no,Mahasiswa ITS Raih Penghargaan Kompetisi Matematika di Bulgaria
clickbait,Kapan Kamu Harus Melepas Hubungan dengan Kekasih?
clickbait,"Gara-gara Knalpot Berisik, Perang Batu dan Senjata Tajam Terjadi di Makassar Selama 2 Hari"
clickbait,"Mengenal Rika, Alternatif Hunian Anti Gempa"
clickbait,"Selamat Jalan Bambang Gunardi, Tokoh Balap Indonesia yang Diakui Dunia"
clickbait,"The Big Start Indonesia: Bermodal Rp 5 Juta, Kini Edwin Raup Omzet Ratusan Juta Rupiah"
clickbait,"""Selfie"" Bareng Valentino Rossi, Bayar Rp 56 juta"
clickbait,Reaksi The Sacred Riana Saat Gagal Melangkah ke Semifinal America's Got Talent
clickbait,"Istri Akui Cekcok Sejak Awal Pernikahan, Delon Bilang ""Lebay"""
clickbait,"Seperti Manusia, Burung Makaw Biru-Kuning akan Tersipu Saat Senang"
clickbait,"Para Ibu, Menyusui Bisa Turunkan Risiko Stroke di Usia Senja"
clickbait,"Video: Menengok Cara Kerja ""Kamera Rahasia"" Oppo Find X"
clickbait,"Pria Bisa Berhubungan Seks saat Disfungsi Ereksi, tapi Ada Efeknya"
clickbait,Keributan Terjadi di Pintu 5 GBK Saat Pengendara Motor Ini Memaksa Masuk
clickbait,Ketika Limbah Abu Alumunium Menjadi Material Pengurug Jalan
clickbait,"Magang di YG Entertainment, Penyanyi Bernard Dinata Saksikan Kerja Keras Artis Korea"
no,Mesin Diesel Toyota Aman Konsumsi Solar B20
clickbait,"Nasi Kapau sampai Nasi Ulam, Kuliner Baru di Dalam Pesawat Citilink..."
no,Buka-Tutup Tol Jakarta-Cikampek Berlaku hingga 5 September
clickbait,"Beasiswa SEA untuk Teknologi, Cek Syarat dan Pendaftaran di Sini"
no,Peneliti Harvard Ciptakan AI untuk Prediksi Gempa Susulan
clickbait,"""Smartphone"" Paling Banyak Dikredit di Home Credit"
no,"Ingat, Pelaku ""Bullying"" dan Penganiayaan Bisa Dikeluarkan dari Sekolah"
clickbait,"Meluncur 12 September di Indonesia, Ini Bocoran Spesifikasi Vivo V11 Pro"
clickbait,"Anggap Medali Emas Mukjizat, Kevin Tak Kuasa Menahan Tangis"
clickbait,"Catat, Jadwal Keberangkatan MRT Jakarta"
no,Honda CR-V Terbaru Mulai Dijual di Jepang
clickbait,Menko Darmin: Mulai Besok Tak Ada Lagi Solar Murni...
clickbait,"Mengulas Masalah ""Bug"" Kamera di Pocophone F1"
no,6 Tips Penting Membangun Bisnis Berbasis Teknologi
no,Inovasi Alat Pengolahan Limbah Batik Antar 5 Mahasiswa Undip Raih Emas di Jepang
clickbait,Kendal Siap Masyarakatkan Dagongan dan Egrang untuk Tarik Wisatawan
clickbait,"Batu Tua Berusia Ratusan Tahun Beri ""Pesan"" Soal Kekeringan di Eropa"
clickbait,"""Lucky Charms"" Versi Genit Sneakers Kyrie 4, Mau?"
clickbait,Istri Kecewa Fariz RM Terjerat Narkoba Lagi
no,Kadin Teken Kerja Sama Pertukaran Informasi Perdagangan dengan Namibia
no,"Bawaslu Loloskan Dua Bakal Caleg Eks Koruptor, Total Ada Lima Orang"
no,YLKI Minta Pemerintah Tolak Usulan Kenaikan Tarif Tol Jakarta-Cikampek
no,Nasib Wisma Atlet Kemayoran Ditentukan Setelah Paragames 2018
no,Fintech: Peminjam Pria Paling Banyak yang Tidak Mengembalikan Uang
no,"Pakai Solar B20, Umur Filter Jadi Lebih Pendek"
clickbait,"Nokia 6.1 Plus dan Nokia 5.1 Plus Resmi Meluncur, Harganya?"
clickbait,Dubes Selandia Baru: Pendidikan Bukan Hanya Membaca dan Menghafal
clickbait,Dul Jaelani Sempat Merasakan Pahitnya Ditolak Beberapa Label Musik
clickbait,"Digosipkan Sudah Menikah dan Punya Anak, Ini Kata Via Vallen"
clickbait,"Oprah Winfrey, Masa Kecil yang Keras hingga Jadi Salah Satu Perempuan Terkaya di AS"
clickbait,"Akui Kecanduan Alkohol dan Seks, Mel B Akan Masuk Rehabilitasi"
no,Bank Syariah Mandiri Kucurkan Rp 1 Triliun untuk BPJS Kesehatan
clickbait,"Seru, Anda Bisa Naik Kereta Thomas Sungguhan di Jepang"
clickbait,"Mengulas Masalah ""Bug"" Kamera di Pocophone F1"
clickbait,"Festival Seni Budaya Jaton, Perekat Keberagaman Masyarakat"
no,Pengembang Menipu Konsumen Bisa Dicoret Keanggotannya di REI
clickbait,Membaca Pesan di Balik Tanda Tangan Kate dan William...
clickbait,"Nokia Bakal Tempel ""PureView"" di Ponsel Android"
clickbait,"Sneakers ""Retro"" PUMA RS-0 Play, Cuma Dijual 300 Pasang di Indonesia"
no,"Singapura Kota Favorit Pebisnis ""Start Up"", Jakarta Nomor 3"
no,"Citilink Beri Diskon 10 Persen di Festival ""Indonesia Bi5a!"""
clickbait,Begini Cara Ilmuwan Ciptakan Air Paling Murni di Dunia
clickbait,"Resmi, DJI Mavic 2 Pro dengan Kamera Hasselblad"
clickbait,"Kue Bulan Rasa Durian, Bisa Dibeli di Sini"
no,Dua Polisi PJR Ditembak Orang Tak Dikenal di Tol Kanci-Pejagan
no,"Tak Berhenti Setelah Menabrak, Grand Livina Diamuk Massa di Jalur Transjakarta"
clickbait,"Super Cub 125 Pelit Jok, Ini Kata Honda"
clickbait,Ryan Giggs Yakin Gareth Bale Bisa Gantikan Peran Cristiano Ronaldo
no,Rocket Rockers Meluncur ke Negeri Sakura
clickbait,Dul Jaelani Cari Uang dari Bermusik untuk Modal Menikah Muda
clickbait,Pemerintah Tak Alergi Material Lokal untuk Bangun Rumah Rakyat
clickbait,Rencanakan Liburan Bersama Kompas Travel Fair 2018
clickbait,Nina Tamam Menahan Tangis Setelah Gugatan Cerainya Diterima
no,Idrus Marham Ditahan KPK
no,"Musim Kemarau Meluas, BMKG: Waspada Potensi Kebakaran Hutan dan Lahan"
clickbait,Dua Juru Masak Kembar Kenalkan ''Silent Cooking Demonstration''
clickbait,"Windows 95 Dijadikan Aplikasi, Bisa Dijalankan di macOS dan Windows"
no,Ma'ruf Amin Nonaktif sebagai Ketua Umum MUI
clickbait,"Taufik: Dirut Jakpro yang Baru Belum Kerja Apa-apa Sudah Minta PMD, Mundur Saja..."
no,"Ada Kecelakaan, Lenteng Agung ke Arah Depok Macet Parah"
clickbait,Ini Penyebab Megaproyek Transportasi di China Gagal
clickbait,Jonatan Christie Bisa Kalahkan Pemain dengan Peringkat di Atasnya
clickbait,"Jakarta Rusun Festival, Wadah Bibit Muda Sepak Bola Indonesia"
clickbait,Kerutan di Dahi Bisa Jadi Tanda Adanya Penyakit Jantung
no,"Banyak Bentuk Tim, Anies Diminta Bandingkan dengan Pemerintahan Dulu"
clickbait,Sandiaga: Masyarakat Gembira Lihat Jokowi dan Prabowo Pelukan
clickbait,Isyana Sarasvati Terkejut Dengar Kabar Raisa Hamil
clickbait,3 Pasar Tradisional di Korea Favorit Turis Indonesia
clickbait,"Sudah Ribuan Tahun, Deforestasi Peradaban Maya Masih Tinggalkan Dampak"
clickbait,"Katanya Diet Keto Bikin Gairah Seks Turun, Benarkah?"
no,Nina Tamam Resmi Bercerai
clickbait,"Meluncur 12 September, Inikah Wujud iPhone XS Berlayar OLED?"
clickbait,Leeteuk Super Junior Pamer Sate dan Ikan Bakar
clickbait,"Rumah Tangga Kembali Kandas, Nikita Mirzani Mengaku Tak Trauma"
no,Serangan Beruang Kutub di Kanada Tewaskan Seorang Pemburu
no,Layar Samsung Galaxy Note 9 Dapat Gelar Terbaik
no,"Saudi Aramco Tak Jelas, Pemerintah Minta Pertamina Lanjutkan Proyek Kilang Cilacap"
no,Tips Menyimpan Daging agar Tetap Awet
clickbait,Sebelum Iblis Menjemput Ikut Festival Film di London
clickbait,"Debut Main Film, Zaskia Gotik Mengaku Deg-degan"
clickbait,"Segera Bisa Dipesan, Ini Harga Asus ZenFone 5Z di Indonesia"
clickbait,Nissan Mulai Bocorkan Juke Generasi Kedua
clickbait,"BERITA POPULER JABODETABEK: Kadis SDA Tersangka, Pelat Mobil Berganti Otomatis, hingga Grand Livina Diamuk Massa"
no,"Undian Babak Ke-3 Piala Liga Inggris, Liverpool Bertemu Chelsea"
clickbait,"Resep Gepuk Daging Sapi yang ""Cantik"" dan Kekinian"
clickbait,Ilmuwan AS Beri Jutaan Rupiah untuk Orang yang Mau Makan Alpukat
clickbait,"Xiaomi Resmikan Pocophone F1 di Indonesia, Harganya?"
no,Penyelam Selandia Baru Temukan Cumi-cumi Raksasa Sepanjang 4 Meter
clickbait,10 Pakaian Termahal Melania Trump
clickbait,Bahkan Orang Tua Anthony Ginting Kesulitan Dapat Tiket
no,"Marcus/Kevin Sabet Emas, Ganda Putra Indonesia Kian Dominasi Asia"
clickbait,"Warganet ""Bangga"", Joshua Suherman Lelah"
no,"Tol Pemalang-Batang Peroleh Tambahan Kredit Rp 2,03 Triliun"
no,"Kalahkan UEA, Jepang Hadapi Korsel di Final Asian Games 2018"
no,Dollar AS Melemah dalam 6 Hari Berturut-turut
no,"Klasemen Perolehan Medali Asian Games 2018, 8 Emas dari Pencak Silat"
clickbait,Helm Motor Cross dengan Sistem Double D-Ring
clickbait,Respons Atlet Kurash Indonesia Setelah Raih Medali Perunggu
no,KTM Perluas Layanan ke Kota Solo
no,"Jadwal Pertandingan Atlet Indonesia di Asian Games untuk Minggu, 26 Agustus"
clickbait,"Ambillah Cuti Lebih Sering, Supaya Panjang Umur..."
clickbait,Evaluasi Bulu Tangkis Indonesia pada Ajang Asian Games 2018
clickbait,Alasan Yaspi Boby Tak Diturunkan pada Estafet 4x100 Meter Putra
clickbait,"Tips ""Skincare"" untuk Samarkan Pori-pori Wajah"
clickbait,Luna Maya Mengaku Dapat Hadiah Syal Mahal dari Syahrini
no,"Ditahan, Idrus Marham Diminta KPK Kooperatif Ungkap Nama-nama Lain"
no,"Buru Merchandise Asian Games, Masyarakat Padati Super Store sejak Pagi"
no,"Tak Terdampak Perang Dagang, Pendapatan Alibaba Melonjak 61 Persen"
no,Wakil Ketua Tim Kampanye Sebut Yusuf Mansur Perkuat Pasangan Jokowi-Ma'ruf
clickbait,Berita Populer: Bola Api hingga Krisis di Argentina
no,"Jelang Acara Penutupan Asian Games, Polda Metro Gelar Razia Preman"
clickbait,Ternyata Ini Kegemaran Turis Indonesia Saat Berlibur ke Korea
clickbait,Perjanjian Bidang Kebudayaan Indonesia dan Hongkong
clickbait,8 Indikator yang Harus Dipenuhi Pengelola Sebelum Menaikkan Tarif Tol
no,Maxime Bouttier Nyatakan Belum Pikirkan Pernikahan
clickbait,"Jadi Pemain Terbaik Eropa, Modric Mantap Bertahan di Madrid"
no,Perluasan Ganjil-genap Diputuskan Berlanjut
no,"Kanye West Berencana Bikin Yeezy ""Glow in The Dark"""
clickbait,"Cabuli Pelajar di Kebun Sawit, Pria Beristri Ditangkap Polisi"
no,Ernest Prakasa Dukung Istri Jadi Sutradara
clickbait,Devano Danendra Tolak 10 Judul Film demi Fokus Sekolah
clickbait,Momen Jokowi-Prabowo Berpelukan Jadi Jaket Custom
